ACADVL
PSEN1
ADSL
AGA
AGL
ALAD
ABCD1
ARSB
BCKDHB
BTD
CDK4
ERCC8
CLN3
CPOX
CST3
CSTB
DDB2
DLD
TOR1A
TAZ
EMD
ERCC3
ERCC5
ERCC6
ETFA
F8
FECH
FH
FXN
FUCA1
GAA
GALC
GALT
GBA
GBE1
GCDH
GPI
NR3C1
GSS
MSH6
GUSB
HADHA
HMBS
HMGCL
HPRT1
HPS1
SGSH
INSR
MEN1
MLH1
MSH2
MTM1
MTR
MUT
NAGLU
NF1
NF2
NPC1
OAT
OCRL
PCCA
PDHA1
PEPD
PEX12
PEX6
PEX7
PGK1
PHKA2
PHKB
PKD1
PLOD1
PMM2
CTSA
PPOX
PTEN
PTS
PEX2
PEX5
RB1
RPGR
ATXN1
ATXN7
STS
TCOF1
TPI1
TSC1
UROD
UROS
XPA
ALDH3A2
BLMH
CHM
TPP1
CYB5R3
ERCC2
EXT2
GM2A
HLCS
HSD17B1
HSD17B4
IFNGR1
KRT10
PAFAH1B1
NEU1
PAFAH2
PSEN2
RFX5
SOD1
STK11
SUOX
UBE3A
PEX1
APP
APRT
ARSA
ATRX
GALNS
GNAS
HEXA
HEXB
PCCB
PMS1
SMPD1
TAP2
TSC2
VHL
WRN
GPX1
SLC11A2
IFNAR1
GSR
ADH5
AHCY
ALDH2
ALDH9A1
BCKDHA
BLVRB
COMT
CRAT
CYP51A1
GART
GGCX
GRINA
GSTM4
GUK1
IGF2R
IMPDH2
NR3C2
NQO2
P4HA1
P4HB
PDHB
POLR2A
POLR2B
PRIM2
RPL4
RPL5
RPL6
RPL7A
RPL8
RPL11
RPL23
RPL19
RPL22
RPL23A
RPL17
RPL24
RPL26
RPL27
RPL30
RPL27A
RPL31
RPL32
RPL34
RPL35A
RPL37A
RPL36AL
ITSN1
PRKCSH
REEP3
NKIRAS2
TSR3
ZNF429
SMAD5
STX16
C16orf87
LSS
UBE2W
ATP2C1
HDGFRP2
UGP2
GRB10
GALK2
GGA1
TIMM50
MED8
ALKBH2
LYRM5
ZNF782
MAP3K15
MED11
C4orf3
RFWD2
TOMM5
C8orf82
PIM3
TTC3
PPARA
ATP5A1
ATP5C1
PLEKHA1
ATP5D
ATE1
USP16
EXOSC10
GMPR2
NT5C3
HCFC1R1
PUS1
ATP5G1
ECHDC1
ATP5G2
AFTPH
ANAPC11
ARL6IP4
LCLAT1
ATP5G3
CAPRIN2
ZFYVE27
MARCH8
EXOSC3
GOLGA7
NFU1
DNAJB12
SMC4
ZNF787
ZNF280D
BTBD7
THOC5
CBY1
PTRH1
TWISTNB
SMAD2
C11orf49
HMGXB4
UQCR10
SMAD1
MAD2L1BP
ZMAT5
BRPF1
ATP5J
RREB1
MTFP1
OSBPL8
ATP5J2
RECQL5
GLE1
ATP5H
STRADA
ERLIN2
NHP2L1
BICD2
ATP5S
HNRNPD
MED15
MANBAL
PARP3
OGDH
CAPNS1
NOMO2
ALG11
QSOX1
ZNF740
RNASEK
SREBF1
MAGED1
HNRNPL
DNM2
KDM2B
ZNF32
MTIF2
LRSAM1
YPEL2
NEURL4
SF3A1
MARCH2
PKP4
SF3B1
VPS54
NUMB
SUMO1
RYK
IP6K2
JMJD8
C3orf37
IP6K1
ERBB2IP
LRRC37A2
SIAH1
TSPAN17
MAPKAP1
WDR33
ARHGAP17
GTDC1
SLC25A25
WDR35
RPS6KA4
UHRF1BP1L
RPS4X
GOSR1
ALG8
SDCBP
KLHL5
ZNF182
ZNF37A
SCP2
ZNF484
L3MBTL3
DEPDC5
CACYBP
SPOP
METTL13
IFRD1
GEMIN7
EI24
RWDD1
TULP4
SMARCB1
LMBRD2
CSDE1
SS18
IRGQ
TFG
BUB3
CEPT1
COA5
CNOT4
TTC32
C18orf25
CISD2
CGGBP1
LAMTOR4
BCAP29
SLC41A3
SEPT2
TMEM64
MXI1
USP20
NUPL1
TPST2
PICALM
CCBL2
THAP7
TFIP11
C6orf1
PPP1CA
WDR89
ZNF121
FNIP1
C6orf226
CCT3
NIPA2
CUL4A
TCP1
STK16
RCHY1
CKAP5
RPS5
GEMIN2
CCT6A
PPP2CB
CCT7
VWA8
BRD9
KIAA0930
ZCCHC11
C12orf29
KIAA2018
VPS8
TMEM230
ANKRD16
SSBP3
ZNF655
C20orf194
FAM168B
DALRD3
SSBP4
KDM1A
RPS6
ZNF766
TTC7B
RNF187
IBA57
ERCC6L2
RAP1A
TNK2
RAP1B
GLT8D1
SPRTN
ATP11C
HERPUD1
RPS7
PDLIM5
FYTTD1
SEPT7
CDK5RAP2
TRAPPC2
PCGF6
CHCHD7
OLA1
NAA30
ARHGEF10L
BTBD1
RPS8
MSL1
MCRS1
ZNF302
CTNNBIP1
DNAJC21
AKTIP
FOXP4
SEC61G
U2AF2
CCDC66
GOSR2
CTBP1
MYPOP
SLC3A2
DCTD
ABI1
CTU2
RGMB
COA6
UBE2NL
C16orf88
RPS9
CCNC
KRIT1
SEH1L
FXR1
AGPHD1
ALG10B
C2orf68
GDPGP1
PTRHD1
SRRD
EIF2AK4
MAD1L1
EXOC7
SLTM
CXorf40B
EXOC6
SUPT20H
AKT1
CUTA
DBNL
CARS
USP21
DDX19B
ETFB
EMC6
ILK
FAM96A
TM9SF1
ZNF638
MRPL22
RPS11
FAM13A
MPG
DNAJC25
TAF9
RPS13
RFFL
SP3
TMCC1
ZNF2
MAEA
GOPC
SIRT3
ERMAP
C14orf28
ZHX1
C2orf76
CCDC58
OS9
RAB28
VMA21
C5orf45
OPA3
RPS15
SORBS3
TPM1
CMC4
VPS13A
POLR3H
BRCC3
SERBP1
CORO1B
FPGS
VPS13C
NARG2
GCOM1
POLR2M
FAHD1
SERF2
NME1-NME2
NME2
NAE1
HAX1
RPS16
PUM1
RPS20
ZSCAN26
ZNF805
IQCB1
RPS21
GPHN
ARF1
TM2D2
CANX
KALRN
LIN52
LRRC24
ZNF688
TNRC6B
CD82
ZNF197
CBWD5
EXOC1
MINK1
YIPF5
BRMS1
ARPC4
RPS23
RPS14
ABCF1
CSNK1A1
ADAR
U2AF1
AP2M1
IRAK1
TAF5L
DUT
RAB12
ANO6
NDEL1
ARFIP1
CELF1
VRK3
FAM108B1
RPS24
RPS25
CCM2
TCAIM
KCTD21
C6orf120
PLEKHG1
GLTPD1
WDR45
ZFAT
ZNF16
METTL17
ZNF181
AP2B1
AP1G1
ARHGAP5
COX19
ZNF451
RAB24
CTNS
SRSF7
TP53BP2
PLAA
PLD3
ELP6
ERGIC1
TRMT11
CCDC90A
INF2
CRELD1
DHRS12
ZNF613
DNAJB14
DDX59
C19orf12
MRI1
YTHDC1
FDX1L
TMEM150A
TIPRL
CSNK1G3
CPT1A
KLF10
TMPO
NR2C1
UBE2V1
SLC35A2
ZNF174
ZNF207
STK24
MINOS1
ZNF226
PQBP1
LCMT1
HNRNPH2
USP48
RRM1
RPAIN
FBXO7
TMEM259
CYFIP1
FAIM
GPR155
MTERFD3
AMD1
NGRN
PAIP2
SAR1B
WIPI2
CSTF1
BABAM1
PPM1B
PHF12
RHOT1
AMZ2
MYO19
ACOT9
BBS9
TRPT1
NOP2
TIAL1
UBA52
DMAP1
EIF2B4
NHP2
ITPRIPL2
RPL14
C18orf32
SRA1
UFD1L
VPS26A
BOLA3
SDHC
GTF3C2
HHLA3
EXOC4
AGAP1
FOXK1
ARL5A
GGPS1
EIF3B
THYN1
STAU1
USP14
RUFY3
GON4L
AGPAT3
SIL1
BTF3
PARL
EEF1B2
GATSL3
ZNF630
NPM1
NCKAP5L
HSD17B10
REV1
DIXDC1
SLC38A10
NARF
ALG13
ATP6V1E1
NDUFAF5
ATP6V0B
NPRL3
KIAA0317
ETNK1
DNAJB2
SEC14L1
CCNL2
PICK1
DPH2
USP9X
IAH1
CREBZF
PRMT5
ZMYM5
TIRAP
YIF1B
UNC45A
CHTF8
TYW5
SNAPC3
NBPF10
SDCCAG3
DEDD
C4orf29
CDC42
OXLD1
GPX4
STRN4
FKRP
ZNF808
C19orf55
ZNF674
ZNF384
INTS6
MLLT4
TCERG1
ARL16
MAPK3
FAM133B
MOSPD3
MLH3
NRF1
PQLC2
CEP44
H2AFY
C16orf13
FAM63A
PAPD5
DCUN1D4
PRDM15
U2AF1L4
HAGH
COA3
YARS2
PHF11
ASB1
MTMR12
RUFY1
SIDT2
RHBDD2
ERAP1
EFTUD1
TMEM70
LINS
CRCP
ACP1
ZXDC
METTL21D
PPAN-P2RY11
INCENP
UEVLD
ABCE1
TROVE2
PGP
CEP63
PPP4R1
CEP170
ANKZF1
PSPC1
WHSC1
ZNF205
FAM98B
CAST
TRAPPC5
TMEM80
PSAP
SUMF2
ABHD12
ACBD5
ZNF565
GEMIN8
DLGAP4
SMIM8
ZNF706
COASY
MINA
AGAP3
SLC9A6
MAZ
NCBP2
ATPAF1
FEZ2
NSL1
SMC2
TATDN3
FRS2
EIF4G2
CHD2
ENGASE
CRTC3
SNUPN
POT1
TTC14
KDM5A
XRN1
PIGY
PARP2
NGDN
TRAK1
MFSD12
SHPRH
ZSWIM7
GTPBP10
SEC24B
STAG2
TPM3
MSMP
SMAP1
ZNF557
NET1
DPH3
MUTYH
PHACTR4
HIPK3
CLCC1
SCYL1
UBL5
TNFRSF1A
TOP2B
ACSS2
TMUB2
CLTA
UBTF
QSER1
CDC14B
ATG9A
SREK1
SENP7
SEC31A
SPPL2B
RNF214
SLC25A45
NCOR2
ZFYVE19
RBM23
POMT1
DPH5
IRF2BP2
PNKD
BCLAF1
HNRNPC
PHF16
TSEN34
PPCS
SLC39A7
MTMR14
UBXN2B
APH1A
WTH3DI
URGCP
AGAP6
ALG9
MIER1
SRSF1
FAM127B
CDC16
TMEM134
UBN1
TBCE
MED24
FAM177A1
KTN1
PAICS
TRAPPC6B
HNRNPUL2
TMTC4
FNDC3A
KIAA1191
FKTN
TMEM183B
OCIAD1
CREBBP
TAX1BP1
BCS1L
CUL4B
KIAA1147
KIAA0146
U2SURP
ZNF629
UNK
FTO
WHAMM
SNED1
BEND3
GPR108
INTS1
ZNF697
PLEKHM3
USP45
USP6NL
ZNF823
TNRC18
RGP1
TMEM223
METTL23
SETD5
BAHCC1
UNC119B
MGA
CACTIN
TMEM218
C15orf57
DNLZ
COMMD5
JMJD6
NXF1
THOC2
CPSF4
PRKDC
ZNF623
ACD
TCTN1
PIH1D2
C11orf57
ZGPAT
CHMP1A
ZNF133
CEP57L1
RABEP1
TMEM214
NAA60
TMEM219
EARS2
RB1CC1
ZBTB40
ANKRD12
STRN3
DNAAF2
WBP1L
THADA
PLOD3
DDT
DDTL
MZT2A
C11orf83
NADKD1
CTNND1
FOXN3
MAP1LC3B2
MYSM1
C17orf89
AAMP
UQCRHL
TRAPPC13
FAM195B
TXNRD1
ACLY
RPP38
ACO2
HNRNPF
CTNNB1
LIG4
COPA
ZBTB21
ZNF621
DLG1
GRSF1
CRTC1
ZNF419
CHCHD4
DDX17
SGSM2
HTATIP2
CDK10
BAG6
USP5
TMBIM6
C1orf43
PCBP2
TMEM251
JKAMP
AKT1S1
C12orf44
RPP14
